description,parole_chiave
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 45 MPH ZONE,exceeding maximum speed 64 mph posted 45 mph zone
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEH,failure return remain scene accidentinvolving attended veh
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
PERSON KNOWINGLY MAKING FALSE VEH THEFT REPORT TO POLICE,person knowingly making false veh theft report police
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,driver turning left fail yield right way vehicle approaching opposite direction
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
DRIVER READING A ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,driver reading electronic msg oper veh travel portion hwy
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,driver failure obey designated lane directions
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving attempting drive motor vehicle highway without required license authorization
DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE WITH ALCOHOL IN BLOOD IN VIOLATION OF RESTRICTION,driving attempting drive motor vehicle alcohol blood violation restriction
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 49 mph posted 30 mph zone
EXCEEDING MAXIMUM SPEED 75 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 75 mph posted 55 mph zone
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106,person driving motor vehicle license suspended 17106
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
UNSAFE BACKING OF MOTOR VEH,unsafe backing motor veh
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,passenger age 16 outboard front seat motor vehicle without seatbelt restraint
POSSESSING SUSPENDED LIC,possessing suspended lic
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,displaying reg plate issued vehicle
EXCEEDING MAXIMUM SPEED 52 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 52 mph posted 35 mph zone
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,displaying reg plate issued vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
EXCEEDING MAXIMUM SPEED 51 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 51 mph posted 35 mph zone
FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGE,failure return remain scene accidentinvolving attended vehdamage
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
FAILURE TO SECURELY FASTEN PROPERLY PLACE POSITION REGISTRATION PLATE TO VEHICLE,failure securely fasten properly place position registration plate vehicle
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEHOF DAMAGE,failure veh driver accident locate notify owner unattended vehof damage
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVING VEHICLE WHILE UNDERTHE INFLUENCE OF ALCOHOL,driving vehicle underthe influence alcohol
PERSON DRIVING MOTOR VEH ON HWY WO TIRES IN SAFE OPERATING CONDITION AS REQUIRED BY ADM,person driving motor veh hwy wo tires safe operating condition required adm
DRIVING VEH WHILE IMPAIRED BY ALCOHOL,driving veh impaired alcohol
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
POSSESSING SUSPENDED LIC,possessing suspended lic
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,parking prohibited official signs
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
POSSESSING SUSPENDED LIC,possessing suspended lic
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,driver failure obey designated lane directions
POSSESSING SUSPENDED LIC,possessing suspended lic
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property revoked license privilege
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
EXCEEDING POSTED MAXIMUM SPEED LIMIT 34 MPH IN A POSTED 25 MPH ZONE,exceeding posted maximum speed limit 34 mph posted 25 mph zone
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 44 mph posted 35 mph zone
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 30 MPH ZONE,exceeding posted maximum speed limit 39 mph posted 30 mph zone
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
FAILURE DIM LIGHTED HEAD LAMPS ON PARKED VEH,failure dim lighted head lamps parked veh
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 50 mph posted 35 mph zone
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
UNLAWFUL USE OF HISTORIC TRUCK FOR GENERAL DAILY TRANSPORTATION,unlawful use historic truck general daily transportation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUTOFSTATE LICENSE,person driving motor vehicle highway public use property revoked outofstate license
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVER USE OF MOTOR VEH HORN ON HWY WHEN NOT REASONABLY NECESSARY FOR SAFETY,driver use motor veh horn hwy reasonably necessary safety
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,driver fail stop flashing red traffic signal stop line
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 49 mph posted 40 mph zone
HOLDER OF LEARNERS PERMIT DRIVING WITH UN AUTHORIZED PERSON OCCUPYING FRONT SEAT,holder learners permit driving un authorized person occupying front seat
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING VEH ON HWY WITH SUSPENDED REGISTRATION,driving veh hwy suspended registration
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 54 mph posted 35 mph zone
FAILURE OF VEH DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,failure veh driver involved accident give insurance policy information
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVING VEH WHILE SO FAR IMPAIRED BY ALCOHOL CANNOT DRIVE SAFELY,driving veh far impaired alcohol drive safely
EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 64 mph posted 55 mph zone
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
HOLDER OF LEARNERS PERMIT DRIVING WITH UNAUTHORIZED PERSON OCCUPYING FRONT SEAT,holder learners permit driving unauthorized person occupying front seat
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,failing secure child age 8 child safety seat transporting motor vehicle
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure stop pedestrian crosswalk
DRIVER WRITINGSENDINGREADING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,driver writingsendingreading textelectronic msg oper veh travel portion hwy
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property revoked license privilege
FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO IN UNATTENDED DAMAGED VEH,failure motor veh driver furnish written id info unattended damaged veh
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
EXCEEDING MAXIMUM SPEED 52 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 52 mph posted 40 mph zone
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
